S. No.,Part No.,Description,USD Price,
299,64.32103-4006,GEAR SHIFT HOUSING ASSY (1324 172 021),850.50,
300,64.32112-0001,PLANET GEAR,40.94,
301,64.32201-0003,GEAR SHIFT SHAFT,63.25,
302,64.32202-0001,MAIN SHAFT,221.60,
303,64.32202-0002,MAIN SHAFT,626.13,
304,64.32203-0004,DRIVER (R/C),24.56,
305,64.32203-0005,DRIVER 3/4 GEAR,20.22,
306,64.32203-0006,DRIVER 1/2 GEAR,38.20,
307,64.32205-0002,COUNTER SHAFT,642.64,
308,64.32206-0001,INPUT SHAFT,222.53,
309,64.32206-0002,INPUT SHAFT,133.15,
310,64.32206-4001,INPUT SHAFT SUB ASSY.,786.77,
311,64.32301-0001,HELICAL GEAR (4G LAY SHAFT),59.37,
312,64.32301-0002,HELICAL GEAR  (CONSTANT MESH),172.75,
313,64.32301-0003,HELICAL GEAR (CR),124.78,
314,64.32301-0004,HELICAL GEAR (REV),89.23,
315,64.32301-0005,SUN GEAR,68.34,
316,64.32301-0006,HELICAL GEAR (1G ON MAIN SHAFT),130.74,
317,64.32301-0007,HELICAL GEAR,108.06,
318,64.32301-0008,HELICAL GEAR (4G ON MAIN SHAFT),85.66,
319,64.32301-0009,HELICAL GEAR (6TH ON MAIN SHAFT),172.80,
320,64.32301-0013,HELICAL GEAR (4TH ON MAIN SHAFT),424.88,
321,64.32301-0022,SPUR GEAR (1ST ON MAIN SHAFT),409.78,
322,64.32402-0002,SLIDING SLEEVE (R/Cr),40.12,
323,64.32402-0003,SLIDING SLEEVE (1/2),101.41,
324,64.32402-0004,SLIDING SLEEVE (3/4),60.47,
325,64.32402-0005,SLIDING SLEEVE (H/L),110.37,
326,64.32402-0007,SLIDING SLEEVE (3/4 GEAR),40.70,
327,64.32420-0001,SYNCHRONISER BODY 1/2,42.12,
328,64.32420-0002,SYNCHRO.RING 1/2,61.80,
329,64.32420-0004,PRESSURE PIECE,2.29,
330,64.32420-0005,SYNCHRONISER BODY 3/4,120.42,
331,64.32420-0006,SYN. RING (3/4),59.57,
332,64.32420-0007,SYNCHRONISER BODY (H/L),54.61,
333,64.32420-0008,SYNCHRONISER RING (H/L),84.68,
334,64.32420-0010,PRESSURE PIECE (GROUP SYN),5.86,
335,64.32420-0013,SYNCHRONISER RING  (5/6 GEAR),35.29,
336,64.32420-0014,SYNCHRONISER RING  (3/4 GEAR),37.80,
337,64.32420-0018,SYNCRONISER BODY (3/4),48.93,
338,64.32420-4001,SYNCHRONISER ASSY (1/2) (1324 204 007),880.65,
339,64.32420-4002,"SYNCRONISER ASSLY (3,4) (1324 204 008)",506.95,
340,64.32423-0001,CLUTCH BODY (1ST GEAR),48.62,
341,64.32423-0002,CLUTCH BODY (3/4),160.76,
342,64.32423-0006,CLUTCH BODY,34.20,
343,64.32423-0008,CLUTCH BODY (3/4TH),35.57,
344,64.32423-0009,CLUTCH BODY (3/4TH),33.44,
345,64.32423-4001,CLUTCH  BODY (INPUT SHAFT) 1324 204 009,98.64,
346,64.32423-4002,CLUTCH  BODY ASSLY.,282.77,
347,64.32423-4003,CLUTCH BODY ASSY (GROUP),194.21,
348,64.32508-0033,SHIFT INTERLOCK,28.50,
349,64.32510-0002,"PRESSURE PIECE (3,4,5,6 GEAR)",3.99,
350,64.32511-0002,DETENT PART,129.32,
351,64.32515-0021,GEAR SHIFT FORK (R/CR),31.05,
352,64.32518-4002,GEAR SHIFT RAIL (H/L),19.03,
353,64.32523-0004,DETENT,23.15,
354,64.32523-0010,PIN,1.14,
355,64.32526-0001,SLIDING PAD,1.85,
356,64.32526-0002,SLIDING PAD,5.32,
357,64.32526-0003,SLIDING  PAD,4.50,
358,64.32526-0004,SLIDING PAD,2.07,
359,64.32526-0005,SLIDING PAD,2.54,
360,64.32526-0007,SLIDING PAD,5.37,
